sample_id,scope,mode,duration_group,wer,cer,wer_s,wer_d,wer_i,wer_n,cer_s,cer_d,cer_i,cer_n,empty
aishell1_S0011_01,aishell1_snr10,streaming,long,0.0000,0.0000,0,0,0,55,0,0,0,55,0
aishell1_S0011_01,aishell1_snr10,non-streaming,long,0.0182,0.0182,1,0,0,55,1,0,0,55,0
aishell1_S0018_01,aishell1_snr10,streaming,long,0.0556,0.0556,3,0,0,54,3,0,0,54,0
aishell1_S0018_01,aishell1_snr10,non-streaming,long,0.0741,0.0741,4,0,0,54,4,0,0,54,0
aishell1_S0006_01,aishell1_snr10,streaming,long,0.2642,0.2642,9,5,0,53,9,5,0,53,0
aishell1_S0006_01,aishell1_snr10,non-streaming,long,0.4528,0.4528,13,11,0,53,13,11,0,53,0
aishell1_S0019_01,aishell1_snr10,streaming,long,0.0556,0.0556,3,0,0,54,3,0,0,54,0
aishell1_S0019_01,aishell1_snr10,non-streaming,long,0.0370,0.0370,2,0,0,54,2,0,0,54,0
aishell1_S0012_01,aishell1_snr10,streaming,long,0.1404,0.1404,8,0,0,57,8,0,0,57,0
aishell1_S0012_01,aishell1_snr10,non-streaming,long,0.1754,0.1754,10,0,0,57,10,0,0,57,0
aishell1_S0031_01,aishell1_snr10,streaming,long,0.0333,0.0333,2,0,0,60,2,0,0,60,0
aishell1_S0031_01,aishell1_snr10,non-streaming,long,0.0167,0.0167,1,0,0,60,1,0,0,60,0
aishell1_S0041_01,aishell1_snr10,streaming,very_long,0.0632,0.0632,3,3,0,95,3,3,0,95,0
aishell1_S0041_01,aishell1_snr10,non-streaming,very_long,0.0842,0.0842,3,3,2,95,3,3,2,95,0
aishell1_S0043_01,aishell1_snr10,streaming,very_long,0.0440,0.0440,4,0,0,91,4,0,0,91,0
aishell1_S0043_01,aishell1_snr10,non-streaming,very_long,0.0659,0.0659,0,0,6,91,0,0,6,91,0
aishell1_S0060_01,aishell1_snr10,streaming,very_long,0.3696,0.3696,26,8,0,92,26,8,0,92,0
aishell1_S0060_01,aishell1_snr10,non-streaming,very_long,0.3370,0.3370,23,8,0,92,23,8,0,92,0
