sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
crosswoz_962_turn3,crosswoz,zh,962,3,160,33.74,very_long,baseline,2940.23,2867.00,73.23,
crosswoz_962_turn3,crosswoz,zh,962,3,160,33.74,very_long,streaming_asr_only,859.53,757.75,101.78,
crosswoz_962_turn3,crosswoz,zh,962,3,160,33.74,very_long,full_streaming,823.81,734.17,89.64,
crosswoz_7652_turn2,crosswoz,zh,7652,2,215,33.83,very_long,baseline,2975.87,2916.79,59.08,
crosswoz_7652_turn2,crosswoz,zh,7652,2,215,33.83,very_long,streaming_asr_only,1079.65,1001.77,77.88,
crosswoz_7652_turn2,crosswoz,zh,7652,2,215,33.83,very_long,full_streaming,1106.48,1020.97,85.51,
crosswoz_11361_turn3,crosswoz,zh,11361,3,160,34.16,very_long,baseline,2992.49,2932.99,59.50,
crosswoz_11361_turn3,crosswoz,zh,11361,3,160,34.16,very_long,streaming_asr_only,856.28,784.55,71.73,
crosswoz_11361_turn3,crosswoz,zh,11361,3,160,34.16,very_long,full_streaming,909.35,823.77,85.58,
crosswoz_9173_turn3,crosswoz,zh,9173,3,174,34.78,very_long,baseline,2828.30,2780.41,47.90,
crosswoz_9173_turn3,crosswoz,zh,9173,3,174,34.78,very_long,streaming_asr_only,1277.83,1195.29,82.53,
crosswoz_9173_turn3,crosswoz,zh,9173,3,174,34.78,very_long,full_streaming,1317.09,1218.19,98.90,
crosswoz_8907_turn3,crosswoz,zh,8907,3,179,35.33,very_long,baseline,2966.80,2913.82,52.98,
crosswoz_8907_turn3,crosswoz,zh,8907,3,179,35.33,very_long,streaming_asr_only,1031.42,971.69,59.74,
crosswoz_8907_turn3,crosswoz,zh,8907,3,179,35.33,very_long,full_streaming,1010.51,924.10,86.41,
crosswoz_11893_turn3,crosswoz,zh,11893,3,171,35.43,very_long,baseline,2812.65,2748.11,64.54,
crosswoz_11893_turn3,crosswoz,zh,11893,3,171,35.43,very_long,streaming_asr_only,1692.04,1621.47,70.57,
crosswoz_11893_turn3,crosswoz,zh,11893,3,171,35.43,very_long,full_streaming,1718.36,1627.50,90.86,
crosswoz_11592_turn2,crosswoz,zh,11592,2,160,35.79,very_long,baseline,2816.27,2754.05,62.22,
crosswoz_11592_turn2,crosswoz,zh,11592,2,160,35.79,very_long,streaming_asr_only,983.12,916.72,66.40,
crosswoz_11592_turn2,crosswoz,zh,11592,2,160,35.79,very_long,full_streaming,963.08,877.39,85.69,
crosswoz_11613_turn4,crosswoz,zh,11613,4,181,36.11,very_long,baseline,3010.84,2943.28,67.56,
crosswoz_11613_turn4,crosswoz,zh,11613,4,181,36.11,very_long,streaming_asr_only,1748.95,1653.26,95.69,
crosswoz_11613_turn4,crosswoz,zh,11613,4,181,36.11,very_long,full_streaming,1493.26,1400.54,92.72,
crosswoz_9577_turn3,crosswoz,zh,9577,3,173,36.69,very_long,baseline,3301.92,3231.88,70.03,
crosswoz_9577_turn3,crosswoz,zh,9577,3,173,36.69,very_long,streaming_asr_only,936.22,855.96,80.26,
crosswoz_9577_turn3,crosswoz,zh,9577,3,173,36.69,very_long,full_streaming,956.25,870.47,85.78,
crosswoz_7310_turn3,crosswoz,zh,7310,3,178,36.76,very_long,baseline,3269.93,3195.56,74.37,
crosswoz_7310_turn3,crosswoz,zh,7310,3,178,36.76,very_long,streaming_asr_only,1524.45,1432.32,92.12,
crosswoz_7310_turn3,crosswoz,zh,7310,3,178,36.76,very_long,full_streaming,1543.23,1453.09,90.14,
crosswoz_12299_turn3,crosswoz,zh,12299,3,178,36.83,very_long,baseline,3044.47,2973.43,71.04,
crosswoz_12299_turn3,crosswoz,zh,12299,3,178,36.83,very_long,streaming_asr_only,1813.20,1711.66,101.54,
crosswoz_12299_turn3,crosswoz,zh,12299,3,178,36.83,very_long,full_streaming,1811.80,1722.50,89.29,
crosswoz_9956_turn5,crosswoz,zh,9956,5,177,37.65,very_long,baseline,3143.44,3069.09,74.35,
crosswoz_9956_turn5,crosswoz,zh,9956,5,177,37.65,very_long,streaming_asr_only,1106.85,1016.78,90.07,
crosswoz_9956_turn5,crosswoz,zh,9956,5,177,37.65,very_long,full_streaming,1085.12,1001.78,83.34,
crosswoz_10574_turn4,crosswoz,zh,10574,4,185,37.76,very_long,baseline,3140.18,3073.60,66.59,
